Name,NetWorth,Country,Source,Rank,Age,Industry,Continent
Chen Zhuolin,$1.4 B,China,real estate,2141,59,Real Estate,Asia
Fernando Chico Pardo,$1.4 B,Mexico,airport management,2141,69,Service,North America
Jean-Paul Clozel,$1.4 B,Switzerland,pharmaceuticals,2141,66,Healthcare,Europe
Jim Crane,$1.4 B,United States,"logistics, baseball",2141,67,Sports,North America
Ana Lucia de Mattos Barretto Villela,$1.4 B,Brazil,banking,2141,47,Finance & Investments,South America
Darwin Deason,$1.4 B,United States,software,2141,80,Service,North America
Sefik Yilmaz Dizdar,$1.4 B,Turkey,fashion retail,2141,83,Fashion & Retail,Europe and Asia
James Duff,$1.4 B,United States,"tires, diversified",2141,60,Diversified,North America
Thomas Duff,$1.4 B,United States,"tires, diversified",2141,64,Diversified,North America
Keith Dunleavy & family,$1.4 B,United States,health IT,2141,51,Healthcare,North America
Fang Zhancheng,$1.4 B,China,soy sauce,2141,N/A,Food & Beverage,Asia
Lloyd Frink,$1.4 B,United States,Zillow,2141,56,Real Estate,North America
Gao Yunfeng,$1.4 B,China,industrial lasers,2141,54,Manufacturing,Asia
Jayme Garfinkel,$1.4 B,Brazil,insurance,2141,75,Finance & Investments,South America
Balkrishan Goenka,$1.4 B,India,textiles,2141,54,Manufacturing,Asia
Jitse Groen,$1.4 B,Netherlands,food delivery service,2141,42,Food & Beverage,Western Europe
Mimi Haas,$1.4 B,United States,Levi's jeans,2141,74,Fashion & Retail,North America
Richard Hayne,$1.4 B,United States,Urban Outfitters,2141,73,Fashion & Retail,North America
He Ningning,$1.4 B,China,electronic components,2141,50,Manufacturing,Asia
He Yamin & family,$1.4 B,China,manufacturing,2141,64,Manufacturing,Asia
Timothy Headington,$1.4 B,United States,"oil & gas, investments",2141,70,Energy,North America
Christian Herz,$1.4 B,Germany,coffee,2141,N/A,Finance & Investments,Europe
Michaela Herz,$1.4 B,Germany,coffee,2141,N/A,Finance & Investments,Europe
Daniel Hirschfeld,$1.4 B,United States,fashion retail,2141,79,Fashion & Retail,North America
Francis Holder,$1.4 B,France,bakeries,2141,80,Food & Beverage,Europe
Hu Chengzhong,$1.4 B,China,manufacturing,2141,60,Manufacturing,Asia
Hu Gengxi & family,$1.4 B,China,Bio-Pharma,2141,57,Healthcare,Asia
Huang Hongyun & family,$1.4 B,China,real estate,2141,54,Real Estate,Asia
Huang Jian,$1.4 B,China,home appliance,2141,54,Manufacturing,Asia
Huang Weibin,$1.4 B,China,home appliances,2141,53,Manufacturing,Asia
Huang Xiaofen & family,$1.4 B,China,printed circuit boards,2141,59,Technology,Asia
Archie Hwang,$1.4 B,Taiwan,semiconductors,2141,68,Technology,Asia
Jay-Z,$1.4 B,United States,Multiple,2141,51,Media & Entertainment,North America
Johan Johannson,$1.4 B,Norway,grocery stores,2141,54,Fashion & Retail,Europe
Scott Kapnick,$1.4 B,United States,private equity,2141,62,Finance & Investments,North America
Sidney Kimmel,$1.4 B,United States,retail,2141,93,Fashion & Retail,North America
Christine Knauf,$1.4 B,Germany,building materials,2141,N/A,Manufacturing,Europe
Karl Knauf,$1.4 B,Germany,building materials,2141,N/A,Manufacturing,Europe
Andrei Kosogov,$1.4 B,Russia,Banking,2141,60,Energy,Europe and Asia
Guilherme Peirao Leal,$1.4 B,Brazil,cosmetics,2141,71,Fashion & Retail,South America
Theodore Leonsis,$1.4 B,United States,sports teams,2141,65,Sports,North America
Li Denghai,$1.4 B,China,seed production,2141,71,Food & Beverage,Asia
Liang Qin & family,$1.4 B,China,semiconductor devices,2141,49,Technology,Asia
Liang Yaoming,$1.4 B,China,diagnostics,2141,57,Healthcare,Asia
Liu Hua,$1.4 B,China,infant formula,2141,48,Food & Beverage,Asia
Liu Xuejing & family,$1.4 B,China,"copper, poultry",2141,70,Diversified,Asia
Anatoly Lomakin,$1.4 B,Russia,investments,2141,68,Metals & Mining,Europe and Asia
Lu Rongfu,$1.4 B,China,telecommunication,2141,50,Telecom,Asia
Antonio Marcegaglia,$1.4 B,Italy,steel,2141,57,Metals & Mining,Europe
Emma Marcegaglia,$1.4 B,Italy,steel,2141,55,Metals & Mining,Europe
Ilson Mateus,$1.4 B,Brazil,supermarkets,2141,58,Fashion & Retail,South America
Terence (Terry) Matthews,$1.4 B,Canada,telecom,2141,78,Telecom,North America
Trevor Milton,$1.4 B,United States,â˜…,2141,39,Automotive,North America
Nirmal Minda,$1.4 B,India,auto parts,2141,63,Automotive,Asia
Robert Mouawad,$1.4 B,Lebanon,fine jewelry,2141,76,Service,Western asia
Judith Neilson,$1.4 B,Australia,investments,2141,75,Finance & Investments,Australia
Kerr Neilson,$1.4 B,Australia,Investments,2141,71,Finance & Investments,Australia
Vadim Novinsky,$1.4 B,Ukraine,steel,2141,57,Metals & Mining,Europe
John Ocampo,$1.4 B,United States,semiconductors,2141,62,Technology,North America
Jonathan Oringer,$1.4 B,United States,stock photos,2141,46,Technology,North America
Andreas Pohl,$1.4 B,Germany,mutual funds,2141,56,Finance & Investments,Europe
"Reinfried Pohl, Jr.",$1.4 B,Germany,mutual funds,2141,61,Finance & Investments,Europe
Qi Jinxing,$1.4 B,China,real estate,2141,59,Real Estate,Asia
Qian Jinghong,$1.4 B,China,electric scooters,2141,48,Automotive,Asia
Vito Rodriguez Rodriguez,$1.4 B,Peru,processed milk,2141,82,Diversified,South America
Oliver Samwer,$1.4 B,Germany,tech investments,2141,47,Technology,Europe
Martin Selig,$1.4 B,United States,real estate,2141,83,Real Estate,North America
Airat Shaimiev,$1.4 B,Russia,"refinery, chemicals",2141,59,Energy,Europe and Asia
Amnon Shashua,$1.4 B,Israel,automotive technology,2141,60,Automotive,Asia
Nobutoshi Shimamura,$1.4 B,Japan,retail,2141,95,Fashion & Retail,Asia
Michael Spencer,$1.4 B,United Kingdom,stock exchange,2141,65,Finance & Investments,Europe
Edward Stack,$1.4 B,United States,Dick's Sporting Goods,2141,66,Fashion & Retail,North America
Thomas Steyer,$1.4 B,United States,hedge funds,2141,63,Finance & Investments,North America
Tan Ruiqing,$1.4 B,China,chemicals,2141,54,Manufacturing,Asia
Itaru Tanimura,$1.4 B,Japan,heathcare,2141,56,Healthcare,Asia
Sukanto Tanoto,$1.4 B,Indonesia,diversified,2141,71,Diversified,Asia
Alexander Tedja,$1.4 B,Indonesia,real estate,2141,75,Real Estate,Asia
Jim Thompson,$1.4 B,United States,logistics,2141,81,Logistics,North America
Jonathan Tisch,$1.4 B,United States,"insurance, NFL team",2141,67,Diversified,North America
Wilma Tisch,$1.4 B,United States,diversified,2141,93,Finance & Investments,North America
Gisele Trajano,$1.4 B,Brazil,retail,2141,N/A,Fashion & Retail,South America
Jayshree Ullal,$1.4 B,United States,computer networking,2141,60,Technology,North America
Vardis Vardinoyannis & family,$1.4 B,Greece,oil and gas,2141,88,Energy,Europe
Sunny Varkey,$1.4 B,India,education,2141,63,Service,Asia
Wang Jianfeng & family,$1.4 B,China,auto parts,2141,51,Automotive,Asia
Wang Junjin,$1.4 B,China,airline,2141,52,Service,Asia
Wang Mingwang,$1.4 B,China,electronics components,2141,53,Manufacturing,Asia
Wang Xiaoshen,$1.4 B,China,lithium,2141,52,Manufacturing,Asia
Werner O. Weber,$1.4 B,Switzerland,electronic components,2141,82,Manufacturing,Europe
Drorit Wertheim,$1.4 B,Israel,Coca Cola Israel,2141,65,Food & Beverage,Asia
"Alfred West, Jr.",$1.4 B,United States,money management,2141,78,Finance & Investments,North America
Wu Po Sum,$1.4 B,China,real estate,2141,70,Real Estate,Asia
Xie Ketao,$1.4 B,China,education,2141,57,Service,Asia
Swift Xie,$1.4 B,China,drones,2141,41,Technology,Asia
Yu Guo,$1.4 B,China,education,2141,59,Service,Asia
"Richard Yuengling, Jr.",$1.4 B,United States,beer,2141,78,Food & Beverage,North America
Clayton Zekelman,$1.4 B,Canada,steel,2141,52,Manufacturing,North America
Zheng Hong & family,$1.4 B,China,electronics,2141,70,Technology,Asia
Shusheng Zheng,$1.4 B,China,telecom,2141,55,Telecom,Asia
Zhuo Jun,$1.4 B,Hong Kong,printed circuit boards,2141,55,Manufacturing,Asia
Inigo Zobel,$1.4 B,Philippines,Diversified,2141,64,Diversified,Asia
Sanjay Agarwal,$1.3 B,India,banking,2263,50,Finance & Investments,Asia
Hamad bin Jassim bin Jaber Al Thani,$1.3 B,Qatar,investments,2263,61,Finance & Investments,Southwestern Asia
Nerio Alessandri,$1.3 B,Italy,gym equipment,2263,59,Manufacturing,Europe
Mika Anttonen,$1.3 B,Finland,oil & gas,2263,54,Energy,Northern Europe
Ryuji Arai,$1.3 B,Japan,appliances,2263,74,Manufacturing,Asia
Mehmet Aydinlar,$1.3 B,Turkey,hospitals,2263,64,Healthcare,Europe and Asia
Achal Bakeri,$1.3 B,India,air coolers,2263,61,Manufacturing,Asia
Elena Baturina,$1.3 B,Russia,"investments, real estate",2263,58,Construction & Engineering,Europe and Asia
Othman Benjelloun & family,$1.3 B,Morocco,"banking, insurance",2263,88,Finance & Investments,Africa
Oleg Boyko,$1.3 B,Russia,diversified,2263,56,Diversified,Europe and Asia
Ludwig Theodor Braun,$1.3 B,Germany,medical technology,2263,31,Healthcare,Europe
Ana Maria Brescia Cafferata,$1.3 B,Peru,"mining, banking",2263,96,Diversified,South America
Chris Britt,$1.3 B,United States,fintech,2263,48,Finance & Investments,North America
Rafal Brzoska,$1.3 B,Poland,parcel lockers,2263,43,Logistics,Europe
Chuck Bundrant,$1.3 B,United States,fishing,2263,79,Food & Beverage,North America
Pradip Burman,$1.3 B,India,consumer goods,2263,78,Food & Beverage,Asia
Cao Xiaochun,$1.3 B,China,pharmaceuticals,2263,52,Healthcare,Asia
Chang Pyung-soon,$1.3 B,South Korea,educational services,2263,70,Service,Asia
Jeffrey Cheah,$1.3 B,Malaysia,property,2263,76,Real Estate,Asia
Vivien Chen,$1.3 B,Hong Kong,real estate,2263,62,Real Estate,Asia
Cheng Lili,$1.3 B,China,poultry breeding,2263,56,Food & Beverage,Asia
Cho Jung-ho,$1.3 B,South Korea,finance,2263,62,Finance & Investments,Asia
Cho Jyh-jer,$1.3 B,Taiwan,semiconductors,2263,N/A,Technology,Asia
Chu Jian,$1.3 B,China,Manufacturing,2263,58,Manufacturing,Asia
Eduard Chukhlebov,$1.3 B,Russia,metallurgy,2263,57,Metals & Mining,Europe and Asia
Turgay Ciner,$1.3 B,Turkey,diversified,2263,65,Diversified,Europe and Asia
Tim Cook,$1.3 B,United States,Apple,2263,60,Technology,North America
Richard Desmond,$1.3 B,United Kingdom,publishing,2263,69,Media & Entertainment,Europe
Du Shuanghua,$1.3 B,China,steel,2263,56,Manufacturing,Asia
Egon Durban,$1.3 B,United States,private equity,2263,47,Finance & Investments,North America
Eduardo Eurnekian,$1.3 B,Argentina,"airports, investments",2263,88,Diversified,South America
Fan Minhua,$1.3 B,China,pharmaceuticals,2263,59,Healthcare,Asia
Feng Chenhui,$1.3 B,United States,Electronics,2263,55,Technology,North America
Feng Yi,$1.3 B,China,software,2263,47,Technology,Asia
John Goff,$1.3 B,United States,real estate,2263,66,Real Estate,North America
Kenneth Hao,$1.3 B,United States,private equity,2263,52,Finance & Investments,North America
Ayman Hariri,$1.3 B,Lebanon,"construction, investments",2263,42,Construction & Engineering,Western asia
Michael Heine,$1.3 B,Australia,financial services,2263,71,Finance & Investments,Australia
Eduardo Hochschild,$1.3 B,Peru,mining,2263,57,Metals & Mining,South America
Huang Dawen,$1.3 B,Hong Kong,silicon,2263,60,Manufacturing,Asia
Huang Shan,$1.3 B,China,software,2263,50,Technology,Asia
Jiang Ganjun,$1.3 B,China,home & office products,2263,57,Manufacturing,Asia
Conni Jonsson,$1.3 B,Sweden,asset management,2263,60,Finance & Investments,Europe
Zbigniew Juroszek & family,$1.3 B,Poland,"real estate, gambling",2263,58,Diversified,Europe
AndrÃ© Kasprzak,$1.3 B,Denmark,shoes,2263,34,Fashion & Retail,Europe
Anna Kasprzak,$1.3 B,Denmark,shoes,2263,31,Fashion & Retail,Europe
Peter Kelly,$1.3 B,United Kingdom,I.T.,2263,63,Technology,Europe
Kim Nam-jung,$1.3 B,South Korea,food,2263,48,Food & Beverage,Asia
Hemendra Kothari,$1.3 B,India,Financial Services,2263,74,Finance & Investments,Asia
Michael Krasny,$1.3 B,United States,retail,2263,67,Technology,North America
Igor Kudryashkin,$1.3 B,Russia,metallurgy,2263,59,Metals & Mining,Europe and Asia
Bernard Lewis & family,$1.3 B,United Kingdom,fashion retailer,2263,95,Fashion & Retail,Europe
Li Tan,$1.3 B,China,pharmaceuticals,2263,56,Healthcare,Asia
Liang Guangwei,$1.3 B,China,conglomerate,2263,57,Manufacturing,Asia
Liang Jiankun & family,$1.3 B,China,cobalt mining,2263,59,Metals & Mining,Asia
Liu Jilu & family,$1.3 B,China,Logistics,2263,74,Logistics,Asia
Mangal Prabhat Lodha,$1.3 B,India,real estate,2263,65,Real Estate,Asia
Brandt Louie,$1.3 B,Canada,drugstores,2263,77,Food & Beverage,North America
Lu Hongyan,$1.3 B,China,online games,2263,43,Media & Entertainment,Asia
Zhaoxi Lu,$1.3 B,China,e-commerce,2263,52,Technology,Asia
Ma Renhe,$1.3 B,China,"textiles, apparel",2263,61,Fashion & Retail,Asia
Deepak Mehta,$1.3 B,India,chemicals,2263,64,Manufacturing,Asia
Ulrike Meister,$1.3 B,Germany,appliances,2263,54,Manufacturing,Europe
Lidiya Mikhailova & family,$1.3 B,Russia,agribusiness,2263,63,Food & Beverage,Europe and Asia
Alan Miller & family,$1.3 B,United States,healthcare services,2263,83,Healthcare,North America
Martin Moller Nielsen,$1.3 B,Denmark,aircraft leasing,2263,56,Logistics,Europe
Greg Mondre,$1.3 B,United States,private equity,2263,46,Finance & Investments,North America
Yoshiko Mori,$1.3 B,Japan,real estate,2263,80,Real Estate,Asia
Bob Muglia,$1.3 B,United States,software,2263,61,Technology,North America
George Alexander Muthoot,$1.3 B,India,financial services,2263,65,Finance & Investments,Asia
George Jacob Muthoot,$1.3 B,India,financial services,2263,68,Finance & Investments,Asia
George Thomas Muthoot,$1.3 B,India,financial services,2263,70,Finance & Investments,Asia
Ranjan Pai,$1.3 B,India,education,2263,48,Service,Asia
Antonio Percassi,$1.3 B,Italy,"real estate, diversified",2263,67,Diversified,Europe
Stefan Pierer,$1.3 B,Austria,automotive,2263,64,Automotive,Australia
Qiu Minxiu,$1.3 B,China,semiconductors,2263,75,Technology,Asia
Lily Safra,$1.3 B,Monaco,banking,2263,83,Finance & Investments,Western Europe
Nobutada Saji,$1.3 B,Japan,beverages,2263,75,Food & Beverage,Asia
Thomas Sandell,$1.3 B,Sweden,hedge funds,2263,60,Finance & Investments,Europe
Penny Sanford,$1.3 B,United States,real estate brokerage,2263,55,Real Estate,North America
Ilya Scherbovich,$1.3 B,Russia,investments,2263,46,Finance & Investments,Europe and Asia
Gerald Schwartz,$1.3 B,Canada,finance,2263,79,Finance & Investments,North America
Anatoly Sedykh,$1.3 B,Russia,steel pipes,2263,56,Metals & Mining,Europe and Asia
Radik Shaimiev,$1.3 B,Russia,"refinery, chemicals",2263,56,Energy,Europe and Asia
Shao Xiaofeng,$1.3 B,China,e-commerce,2263,55,Technology,Asia
Shi Xu,$1.3 B,Singapore,technology,2263,57,Technology,Asia
Shin Chang-jae,$1.3 B,South Korea,insurance,2263,67,Finance & Investments,Asia
Ron Sim,$1.3 B,Singapore,retail,2263,62,Fashion & Retail,Asia
Jasminder Singh & family,$1.3 B,United Kingdom,hotels,2263,70,Real Estate,Europe
Jared Smith,$1.3 B,United States,cloud computing,2263,46,Technology,North America
Terry Snow,$1.3 B,Australia,"airports, real estate",2263,77,Real Estate,Australia
Petter Stordalen & family,$1.3 B,Norway,hotels,2263,58,Service,Europe
Dirk Stroeer,$1.3 B,Germany,advertising,2263,52,Media & Entertainment,Europe
Satoshi Suzuki,$1.3 B,Japan,cosmetics,2263,67,Fashion & Retail,Asia
Tang Zhuang,$1.3 B,United States,electronics,2263,48,Technology,North America
Joop van den Ende,$1.3 B,Netherlands,TV shows,2263,79,Media & Entertainment,Western Europe
Masaru Wasami,$1.3 B,Japan,logistics,2263,75,Logistics,Asia
Wei Shaojun,$1.3 B,China,real estate,2263,58,Real Estate,Asia
Farris Wilks,$1.3 B,United States,natural gas,2263,69,Energy,North America
Whitney Wolfe Herd,$1.3 B,United States,dating app,2263,31,Technology,North America
Wu Yonghua,$1.3 B,China,apparel,2263,50,Fashion & Retail,Asia
Xia Shudong,$1.3 B,China,IT service,2263,48,Technology,Asia
Xiong Jun & family,$1.3 B,China,pharmaceuticals,2263,47,Healthcare,Asia
Xu Guangfu & family,$1.3 B,China,Daqo Group,2263,78,Energy,Asia
Yang Keng,$1.3 B,China,real estate,2263,60,Real Estate,Asia
Luis Enrique Yarur Rey,$1.3 B,Chile,banking,2263,70,Finance & Investments,South America
Ye Qiongjiu,$1.3 B,China,software,2263,66,Technology,Asia
Yeh Kuo-I,$1.3 B,Taiwan,manufacturing,2263,79,Manufacturing,Asia
Yu Bangping & family,$1.3 B,China,coal mining,2263,53,Metals & Mining,Asia
Yu Jinkun & family,$1.3 B,China,transportation equipment,2263,78,Manufacturing,Asia
Patrick Zalupski,$1.3 B,United States,homebuilding,2263,40,Real Estate,North America
Zhang Gongyun,$1.3 B,China,tyre manufacturing machinery,2263,58,Manufacturing,Asia
Zhou Chengjian,$1.3 B,China,fashion retail,2263,55,Fashion & Retail,Asia
Zhou Xiayun & family,$1.3 B,China,Education,2263,66,Service,Asia
Zhu Tao,$1.3 B,China,pharmaceutical,2263,48,Healthcare,Asia
Aras Agalarov,$1.2 B,Russia,real estate,2378,65,Fashion & Retail,Europe and Asia
Syed Mokhtar AlBukhary,$1.2 B,Malaysia,"engineering, energy, construction",2378,69,Construction & Engineering,Asia
Anant Asavabhokin,$1.2 B,Thailand,real estate,2378,70,Real Estate,Asia
Thomas Bailey,$1.2 B,United States,money management,2378,84,Finance & Investments,North America
Shay Banon,$1.2 B,Israel,search engine,2378,43,Technology,Asia
Sachin Bansal,$1.2 B,India,flipkart,2378,39,Fashion & Retail,Asia
Christian Bertermann,$1.2 B,Germany,used car sales,2378,37,Automotive,Europe
Cao Kejian,$1.2 B,China,air compressors,2378,58,Manufacturing,Asia
Edouard Carmignac,$1.2 B,France,asset management,2378,73,Finance & Investments,Europe
Chen Gang,$1.2 B,China,solar energy,2378,53,Energy,Asia
Chen Tianqiao,$1.2 B,China,online games,2378,47,Technology,Asia
Henry Cheng,$1.2 B,Hong Kong,diversified,2378,74,Diversified,Asia
Cheng Wei,$1.2 B,China,ride-hailing service,2378,38,Service,Asia
Chey Ki-won,$1.2 B,South Korea,"computer services, telecom",2378,56,Technology,Asia
Chua Thian Poh,$1.2 B,Singapore,real estate,2378,72,Real Estate,Asia
Ronald Clarke,$1.2 B,United States,payments technology,2378,65,Technology,North America
Sandor Csanyi,$1.2 B,Hungary,"finance, real estate",2378,68,Diversified,Europe
Diego Della Valle,$1.2 B,Italy,shoes,2378,67,Fashion & Retail,Europe
Deng Hui & family,$1.2 B,United States,software,2378,58,Technology,North America
Carl DeSantis,$1.2 B,United States,energy drink,2378,81,Food & Beverage,North America
Mathias Doepfner,$1.2 B,Germany,Media,2378,58,Media & Entertainment,Europe
Aydin Dogan,$1.2 B,Turkey,media,2378,84,Media & Entertainment,Europe and Asia
Marek Dospiva,$1.2 B,Czechia,investments,2378,51,Finance & Investments,Europe
Wesley Edens,$1.2 B,United States,investments,2378,59,Finance & Investments,North America
Wolfgang Egger,$1.2 B,Germany,real estate,2378,55,Real Estate,Europe
Gabriel Escarrer,$1.2 B,Spain,hotels,2378,86,Service,Europe
Fan Zhaoxia & family,$1.2 B,China,photovoltaic equipment,2378,53,Energy,Asia
Clement Fayat & family,$1.2 B,France,construction,2378,89,Construction & Engineering,Europe
Gleb Fetisov,$1.2 B,Russia,investments,2378,54,Telecom,Europe and Asia
Benedicte Find,$1.2 B,Denmark,medical devices,2378,N/A,Healthcare,Europe
J. Christopher Flowers,$1.2 B,United States,investments,2378,63,Finance & Investments,North America
Dan Gertler,$1.2 B,Israel,mining,2378,47,Metals & Mining,Asia
Premchand Godha,$1.2 B,India,pharmaceuticals,2378,74,Healthcare,Asia
Lance Gokongwei,$1.2 B,Philippines,diversified,2378,53,Diversified,Asia
Lawrence Golub,$1.2 B,United States,private equity,2378,61,Finance & Investments,North America
Ryan Graves,$1.2 B,United States,uber,2378,37,Technology,North America
Mehmet Nazif Gunal,$1.2 B,Turkey,"tourism, construction",2378,73,Diversified,Europe and asia
Stelios Haji-Ioannou,$1.2 B,Cyprus,EasyJet,2378,54,Service,Europe
Alfredo Harp Helu & family,$1.2 B,Mexico,banking,2378,77,Finance & Investments,North America
Jaroslav Hascak,$1.2 B,Slovakia,investments,2378,51,Finance & Investments,Europe
Hong Seok-joh,$1.2 B,South Korea,convenience stores,2378,68,Fashion & Retail,Asia
Hu Xiaojun & family,$1.2 B,China,Airline,2378,59,Service,Asia
Huang Shanbing & family,$1.2 B,China,semiconductors,2378,64,Technology,Asia
Huang Yimeng,$1.2 B,China,mobile games,2378,39,Media & Entertainment,Asia
Jonas Kamprad,$1.2 B,Sweden,IKEA,2378,55,Finance & Investments,Europe
Mathias Kamprad,$1.2 B,Sweden,IKEA,2378,51,Finance & Investments,Europe
Peter Kamprad,$1.2 B,Sweden,IKEA,2378,57,Finance & Investments,Europe
Eugene Kaspersky,$1.2 B,Russia,software,2378,55,Technology,Europe and Asia
Kim Dae-il,$1.2 B,South Korea,mobile gaming,2378,41,Technology,Asia
Kim Jung-woong,$1.2 B,South Korea,cosmetics,2378,46,Fashion & Retail,Asia
Kazutoshi Kobayashi,$1.2 B,Japan,cosmetics,2378,58,Fashion & Retail,Asia
Masanori Kobayashi,$1.2 B,Japan,cosmetics,2378,47,Fashion & Retail,Asia
Takao Kobayashi,$1.2 B,Japan,cosmetics,2378,56,Fashion & Retail,Asia
Hakan Koc,$1.2 B,Germany,online car sales,2378,36,Automotive,Europe
Andrei Komarov,$1.2 B,Russia,manufacturing,2378,54,Manufacturing,Europe and Asia
Koo Bon-joon,$1.2 B,South Korea,"electronics, household products",2378,69,Technology,Asia
Koo Bon-neung,$1.2 B,South Korea,electronics,2378,72,Manufacturing,Asia
Koo Bon-sik,$1.2 B,South Korea,LG,2378,62,Technology,Asia
Kwek Leng Peck,$1.2 B,Singapore,diversified,2378,65,Diversified,Asia
Joe Lacob,$1.2 B,United States,Golden State Warriors,2378,65,Sports,North America
Guy LalibertÃ©,$1.2 B,Canada,Cirque du Soleil,2378,61,Media & Entertainment,North America
Lee Jay-hyun,$1.2 B,South Korea,"food products, entertainment",2378,61,Diversified,Asia
Li Fengluan,$1.2 B,China,"steel, diversified",2378,59,Diversified,Asia
Lin Jie & family,$1.2 B,China,pharmaceuticals,2378,52,Healthcare,Asia
Liu Baolin,$1.2 B,China,pharmacies,2378,67,Fashion & Retail,Asia
Liu Gexin & family,$1.2 B,China,pharmaceuticals,2378,69,Healthcare,Asia
Lou Guoqiang,$1.2 B,China,copper,2378,64,Manufacturing,Asia
Lu Shenglin,$1.2 B,China,machinery,2378,40,Manufacturing,Asia
Lu Zhilin,$1.2 B,China,machinery,2378,38,Manufacturing,Asia
Frederic Luddy,$1.2 B,United States,software,2378,66,Technology,North America
Lun Ruixiang & family,$1.2 B,China,real estate,2378,53,Real Estate,Asia
Alexander Lutsenko & family,$1.2 B,Russia,agribusiness,2378,59,Food & Beverage,Europe and Asia
Bill Malhotra,$1.2 B,Canada,real estate,2378,71,Real Estate,North America
Jorge Mas,$1.2 B,United States,Construction,2378,58,Construction & Engineering,North America
Muneaki Masuda,$1.2 B,Japan,retail,2378,70,Fashion & Retail,Asia
Andrei Molchanov,$1.2 B,Russia,construction materials,2378,49,Construction & Engineering,Europe and Asia
Ulrich Mommert & family,$1.2 B,Austria,lighting,2378,80,Automotive,Australia
Taichiro Motoe,$1.2 B,Japan,Internet services,2378,45,Technology,Asia
Mou Jinxiang,$1.2 B,China,chemicals,2378,67,Manufacturing,Asia
Udo Mueller,$1.2 B,Germany,advertising,2378,59,Media & Entertainment,Europe
Nguyen Dang Quang,$1.2 B,Vietnam,"consumer products, banking",2378,57,Food & Beverage,Asia
Simon Nixon,$1.2 B,United Kingdom,price comparison website,2378,53,Technology,Europe
Liora Ofer,$1.2 B,Israel,investments,2378,67,Finance & Investments,Asia
Roberto Ongpin,$1.2 B,Philippines,diversified,2378,84,Diversified,Europe
Eren Ozmen,$1.2 B,United States,aerospace,2378,62,Manufacturing,North America
Fatih Ozmen,$1.2 B,United States,aerospace,2378,63,Manufacturing,North America
Chamath Palihapitiya,$1.2 B,United States,â˜…,2378,44,Finance & Investments,North America
Murdaya Poo,$1.2 B,Indonesia,diversified,2378,80,Diversified,Asia
G.V. Prasad,$1.2 B,India,pharmaceuticals,2378,60,Healthcare,Asia
Michael Price,$1.2 B,United States,investments,2378,68,Finance & Investments,North America
Qin Qingping & family,$1.2 B,China,coal & coke,2378,58,Energy,Asia
Qiu Dongxu,$1.2 B,Canada,pharmaceutical,2378,61,Healthcare,North America
Rao Wei & family,$1.2 B,China,pharmaceuticals,2378,56,Healthcare,Asia
Andrei Rappoport,$1.2 B,Russia,investments,2378,57,Finance & Investments,Europe and Asia
Dani Reiss,$1.2 B,Canada,down jackets,2378,47,Fashion & Retail,North America
Ren Zhengfei,$1.2 B,China,telecom equipment,2378,77,Telecom,Asia
Duke Reyes,$1.2 B,United States,beer distribution,2378,64,Food & Beverage,North America
Boris Rotenberg,$1.2 B,Russia,"construction, pipes, chemicals",2378,64,Construction & Engineering,Europe and Asia
Chris Sacca,$1.2 B,United States,venture capital investing,2378,45,Finance & Investments,North America
Alexander Samwer,$1.2 B,Germany,tech investments,2378,46,Technology,Europe
Marc Samwer,$1.2 B,Germany,tech investments,2378,50,Technology,Europe
Hajime Satomi,$1.2 B,Japan,"video games, pachinko",2378,79,Gambling & Casinos,Asia
James Scapa,$1.2 B,United States,software,2378,64,Technology,North America
Albert Shigaboutdinov,$1.2 B,Russia,"refinery, chemicals",2378,68,Diversified,Europe and Asia
Kavita Singhania,$1.2 B,India,cement,2378,59,Manufacturing,Asia
Ronald Slabke,$1.2 B,Germany,fintech,2378,N/A,Technology,Europe
Mike Speiser,$1.2 B,United States,software,2378,50,Technology,North America
Michael Steinhardt,$1.2 B,United States,hedge funds,2378,80,Finance & Investments,North America
Nik Storonsky,$1.2 B,United Kingdom,fintech,2378,36,Technology,Europe
Sergei Sudarikov,$1.2 B,Russia,"finance, development",2378,49,Finance & Investments,Europe and Asia
Winarko Sulistyo,$1.2 B,Indonesia,paper and pulp,2378,75,Manufacturing,Asia
Rustem Sulteev,$1.2 B,Russia,"refinery, chemicals",2378,67,Energy,Europe and Asia
Sam Tarascio,$1.2 B,Australia,real estate,2378,76,Real Estate,Australia
Nutchamai Thanombooncharoen,$1.2 B,Thailand,energy drinks,2378,59,Food & Beverage,Asia
Laurie Tisch,$1.2 B,United States,"insurance, NFL team",2378,70,Diversified,North America
Steven Tisch,$1.2 B,United States,insurance,2378,72,Diversified,North America
Robert Toll,$1.2 B,United States,home building,2378,80,Real Estate,North America
Thomas Tull,$1.2 B,United States,"movies, investments",2378,50,Media & Entertainment,North America
Thongma Vijitpongpun,$1.2 B,Thailand,real estate,2378,63,Real Estate,Asia
Thomas von Koch,$1.2 B,Sweden,asset management,2378,55,Finance & Investments,Europe
Wan Feng & family,$1.2 B,China,medical equipment,2378,52,Healthcare,Asia
Wang Fuji,$1.2 B,China,pharmaceuticals,2378,N/A,Healthcare,Asia
Wang Jianyi,$1.2 B,China,fiber optic cables,2378,58,Technology,Asia
Wang Qunbin,$1.2 B,China,conglomerate,2378,51,Diversified,Asia
